"Private value";"an agent A’s valuation of the good is independent from other agent’s valuation of the good example: a painting, John Lennon’s last dollar bill";"multi-agent-systems auctions valuation-models"
"Correlated value";"valuations of the good are related, i.e. the more other agents are prepared to pay, the more agent A prepared to pay. example: purchase of items for later resale";"multi-agent-systems auctions valuation-models"
"Agent’s payoff from participating in an auction";"if winner: payoff = item’s valuation – price paid for the item; if not winner: payoff = zero";"multi-agent-systems auctions valuation-models"
"Single Good Auctions";"auction of one item";"multi-agent-systems auctions auction-types"
"Multi-Unit Auctions";"multiple units of the same item are available for auction";"multi-agent-systems auctions auction-types"
"Multi-Item Auctions";"bidding for multiple items grouped together";"multi-agent-systems auctions auction-types"
"Reverse Auctions";"The buyer issues a request for bids to his providers.";"multi-agent-systems auctions auction-types"
"Multi-Attribute Auctions";"Negotiation over further attributes beyond price, e.g. color, weight, or delivery time";"multi-agent-systems auctions auction-types"
"English Auction";"Auctioneer starts the bidding at some reservation price. Bidders then shout out ascending prices (minimum increments). Once bidders stop shouting, the high bidder gets the good at that price.";"multi-agent-systems auctions single-item-auctions-basic-auction-mechanisms"
"Japanese Auction";"Same as an English auction except that the auctioneer calls out the prices<br>All bidders start out standing. When the price reaches a level that a bidder is not willing to pay, that bidder sits down. Once a bidder sits down, they can't get back up the last person standing gets the good.";"multi-agent-systems auctions single-item-auctions-basic-auction-mechanisms"
"Dutch Auction";"The auctioneer starts ahigh value; it descends clock at some. At some point, a bidder shouts “mine!"" and gets the good at the price shown on the clock. Good when items need to be sold quickly (similar to Japanese auction) No information is given away during auction.";"multi-agent-systems auctions single-item-auctions-basic-auction-mechanisms"
"First-price sealed bid auction";"Bidders write down bids on pieces of paper. Suctioneer awards the good to the bidder with the highest bid. That bidder pays the amount of his bid.";"multi-agent-systems auctions single-item-auctions-basic-auction-mechanisms"
"Second-price sealed bid auction";"Same as First-price sealed bid auction except winner pays the amount bid by the second-highest bidder alias: Vickerey auction";"multi-agent-systems auctions single-item-auctions-basic-auction-mechanisms"
